day,date,new_cases_malaysia,total_cases_malaysia,new_death_malaysia,total_death_malaysia,new_recovered_malaysia,total_recovered_malaysia
55,18-03-20,117,790,1,3,11,60
56,19-03-20,110,900,0,3,15,75
57,20-03-20,130,1030,1,4,12,87
58,21-03-20,153,1183,4,8,27,114
59,22-03-20,123,1306,3,11,25,139
60,23-03-20,212,1518,3,14,20,159
61,24-03-20,106,1624,2,16,24,183
62,25-03-20,172,1796,4,20,16,199
63,26-03-20,235,2031,5,25,16,215
64,27-03-20,130,2161,1,26,44,259
65,28-03-20,159,2320,8,34,61,320
66,29-03-20,150,2470,3,37,68,388
67,30-03-20,156,2626,2,39,91,479
68,31-03-20,140,2766,9,48,58,537
69,01-04-20,142,2908,1,49,108,645
70,02-04-20,208,3116,3,52,122,767
71,03-04-20,217,3333,5,57,60,827
72,04-04-20,150,3483,3,60,88,915
73,05-04-20,179,3662,2,62,90,1005
74,06-04-20,131,3793,1,63,236,1241
75,07-04-20,170,3963,1,64,80,1321
76,08-04-20,156,4119,2,66,166,1487
77,09-04-20,109,4228,2,68,121,1608
78,10-04-20,118,4346,3,71,222,1830
79,11-04-20,184,4530,3,74,165,1995
80,12-04-20,153,4683,5,79,113,2108
81,13-04-20,134,4817,2,81,168,2276
82,14-04-20,170,4987,2,83,202,2478
83,15-04-20,85,5072,2,85,196,2674
84,16-04-20,110,5182,2,87,92,2766
85,17-04-20,69,5251,1,88,201,2967
86,18-04-20,54,5305,1,89,135,3102
87,19-04-20,84,5389,0,89,95,3197
88,20-04-20,36,5425,1,90,98,3295
89,21-04-20,57,5482,2,92,54,3349
90,22-04-20,50,5532,2,94,103,3452
91,23-04-20,71,5603,1,95,90,3542
92,24-04-20,88,5691,2,97,121,3663
93,25-04-20,51,5742,1,98,99,3762
94,26-04-20,38,5780,0,98,100,3862
95,27-04-20,40,5820,1,99,95,3957
96,28-04-20,31,5851,1,100,75,4032
97,29-04-20,94,5945,1,101,55,4087
98,30-04-20,57,6002,2,103,84,4171
99,01-05-20,69,6071,0,103,39,4210
100,02-05-20,105,6176,1,104,116,4326
101,03-05-20,122,6298,1,105,87,4413
