id,date,new_cases_malaysia
1,24-1-2020,0
2,25-1-2020,4
3,26-1-2020,0
4,27-1-2020,0
5,28-1-2020,3
6,29-1-2020,0
7,30-1-2020,1
8,31-1-2020,0
9,1/2/2020,0
10,2/2/2020,0
11,3/2/2020,0
12,4/2/2020,2
13,5/2/2020,2
14,6/2/2020,2
15,7/2/2020,1
16,8/2/2020,1
17,9/2/2020,1
18,10/2/2020,1
19,11/2/2020,0
20,12/2/2020,0
21,13-2-2020,1
22,14-2-2020,0
23,15-2-2020,2
24,16-2-2020,1
25,17-2-2020,0
26,18-2-2020,0
27,19-2-2020,0
28,20-2-2020,0
29,21-2-2020,0
30,22-2-2020,0
31,23-2-2020,0
32,24-2-2020,0
33,25-2-2020,0
34,26-2-2020,0
35,27-2-2020,1
36,28-2-2020,2
37,29-2-2020,0
38,1/3/2020,4
39,2/3/2020,0
40,3/3/2020,7
41,4/3/2020,14
42,5/3/2020,5
43,6/3/2020,28
44,7/3/2020,10
45,8/3/2020,6
46,9/3/2020,18
47,10/3/2020,12
48,11/3/2020,20
49,12/3/2020,9
50,13-3-2020,39
51,14-3-2020,41
52,15-3-2020,190
53,16-3-2020,125
54,17-3-2020,120
55,18-3-2020,117
56,19-3-2020,110
57,20-3-2020,130
58,21-3-2020,153
59,22-3-2020,123
60,23-3-2020,212
61,24-3-2020,106
62,25-3-2020,172
63,26-3-2020,235
64,27-3-2020,130
65,28-3-2020,159
66,29-3-2020,150
67,30-3-2020,156
68,31-3-2020,140
69,1/4/2020,142
70,2/4/2020,208
71,3/4/2020,217
72,4/4/2020,150
73,5/4/2020,179
74,6/4/2020,131
75,7/4/2020,170
76,8/4/2020,156
77,9/4/2020,109
78,10/4/2020,118
79,11/4/2020,184
80,12/4/2020,153
81,13-4-2020,134
82,14-4-2020,170
83,15-4-2020,85
84,16-4-2020,110
85,17-4-2020,69
86,18-4-2020,54
87,19-4-2020,84
88,20-4-2020,36
89,21-4-2020,57
90,22-4-2020,50
91,23-4-2020,71
92,24-4-2020,88
93,25-4-2020,51
94,26-4-2020,38
95,27-4-2020,40
96,28-4-2020,31
97,29-4-2020,94
98,30-4-2020,57
99,1/5/2020,69
100,2/5/2020,105
101,3/5/2020,122
102,4/5/2020,55
103,5/5/2020,30
104,6/5/2020,45
105,7/5/2020,39
106,8/5/2020,68
107,9/5/2020,54
108,10/5/2020,67
109,11/5/2020,70
110,12/5/2020,16
111,13-5-2020,37
112,14-5-2020,40
113,15-5-2020,36
114,16-5-2020,17
115,17-5-2020,22
116,18-5-2020,47
117,19-5-2020,37
118,20-5-2020,31
119,21-5-2020,50
120,22-5-2020,78
121,23-5-2020,48
122,24-5-2020,60
123,25-5-2020,172
124,26-5-2020,187
125,27-5-2020,15
126,28-5-2020,10
127,29-5-2020,103
128,30-5-2020,30
129,31-5-2020,57
130,1/6/2020,38
131,2/6/2020,20
132,3/6/2020,93
133,4/6/2020,277
134,5/6/2020,19
135,6/6/2020,37
136,7/6/2020,19
137,8/6/2020,7
138,9/6/2020,7
139,10/6/2020,2
140,11/6/2020,31
141,12/6/2020,33
142,13-6-2020,43
143,14-6-2020,8
144,15-6-2020,41
145,16-6-2020,11
146,17-6-2020,10
147,18-6-2020,14
148,19-6-2020,6
149,20-6-2020,21
150,21-6-2020,16
151,22-6-2020,15
152,23-6-2020,3
153,24-6-2020,6
154,25-6-2020,4
155,26-6-2020,6
156,27-6-2020,10
157,28-6-2020,18
158,29-6-2020,3
159,30-6-2020,2
160,1/7/2020,1
161,2/7/2020,3
162,3/7/2020,5
163,4/7/2020,10
164,5/7/2020,5
165,6/7/2020,5
166,7/7/2020,6
167,8/7/2020,3
168,9/7/2020,6
169,10/7/2020,13
170,11/7/2020,8
171,12/7/2020,14
172,13-7-2020,7
173,14-7-2020,4
174,15-7-2020,5
175,16-7-2020,3
176,17-7-2020,18
177,18-7-2020,9
178,19-7-2020,15
179,20-7-2020,21
180,21-7-2020,15
181,22-7-2020,16
182,23-7-2020,9
183,24-7-2020,21
184,25-7-2020,23
185,26-7-2020,13
186,27-7-2020,7
187,28-7-2020,39
188,29-7-2020,13
189,30-7-2020,8
190,31-7-2020,12
191,1/8/2020,9
192,2/8/2020,14
193,3/8/2020,2
194,4/8/2020,1
195,5/8/2020,21
196,6/8/2020,15
197,7/8/2020,25
198,8/8/2020,7
199,9/8/2020,13
200,10/8/2020,11
201,11/8/2020,9
202,12/8/2020,11
203,13-8-2020,15
204,14-8-2020,20
205,15-8-2020,26
206,16-8-2020,25
207,17-8-2020,12
208,18-8-2020,7
209,19-8-2020,16
210,20-8-2020,5
211,21-8-2020,9
212,22-8-2020,8
213,23-8-2020,10
214,24-8-2020,7
215,25-8-2020,11
216,26-8-2020,6
217,27-8-2020,5
218,28-8-2020,10
219,29-8-2020,11
