id,date,total_cases_malaysia
1,24-01-20,0
2,25-01-20,4
3,26-01-20,4
4,27-01-20,4
5,28-01-20,7
6,29-01-20,7
7,30-01-20,8
8,31-01-20,8
9,01-02-20,8
10,02-02-20,8
11,03-02-20,8
12,04-02-20,10
13,05-02-20,12
14,06-02-20,14
15,07-02-20,15
16,08-02-20,16
17,09-02-20,17
18,10-02-20,18
19,11-02-20,18
20,12-02-20,18
21,13-02-20,19
22,14-02-20,19
23,15-02-20,21
24,16-02-20,22
25,17-02-20,22
26,18-02-20,22
27,19-02-20,22
28,20-02-20,22
29,21-02-20,22
30,22-02-20,22
31,23-02-20,22
32,24-02-20,22
33,25-02-20,22
34,26-02-20,22
35,27-02-20,23
36,28-02-20,25
37,29-02-20,25
38,01-03-20,29
39,02-03-20,29
40,03-03-20,36
41,04-03-20,50
42,05-03-20,55
43,06-03-20,83
44,07-03-20,93
45,08-03-20,99
46,09-03-20,117
47,10-03-20,129
48,11-03-20,149
49,12-03-20,158
50,13-03-20,197
51,14-03-20,238
52,15-03-20,428
53,16-03-20,553
54,17-03-20,673
55,18-03-20,790
56,19-03-20,900
57,20-03-20,1030
58,21-03-20,1183
59,22-03-20,1306
60,23-03-20,1518
61,24-03-20,1624
62,25-03-20,1796
63,26-03-20,2031
64,27-03-20,2161
65,28-03-20,2320
66,29-03-20,2470
67,30-03-20,2626
68,31-03-20,2766
69,01-04-20,2908
70,02-04-20,3116
71,03-04-20,3333
72,04-04-20,3483
73,05-04-20,3662
74,06-04-20,3793
75,07-04-20,3963
76,08-04-20,4119
77,09-04-20,4228
78,10-04-20,4346
79,11-04-20,4530
80,12-04-20,4683
81,13-04-20,4817
82,14-04-20,4987
83,15-04-20,5072
84,16-04-20,5182
85,17-04-20,5251
86,18-04-20,5305
87,19-04-20,5389
88,20-04-20,5425
89,21-04-20,5482
90,22-04-20,5532
91,23-04-20,5603
92,24-04-20,5691
93,25-04-20,5742
94,26-04-20,5780
95,27-04-20,5820
96,28-04-20,5851
97,29-04-20,5945
98,30-04-20,6002
99,01-05-20,6071
100,02-05-20,6176
101,03-05-20,6298
102,04-05-20,6353
103,05-05-20,6383
104,06-05-20,6428
105,07-05-20,6467
106,08-05-20,6535
107,09-05-20,6589
108,10-05-20,6656
109,11-05-20,6726
110,12-05-20,6742
111,13-05-20,6779
112,14-05-20,6819
113,15-05-20,6855
114,16-05-20,6872
115,17-05-20,6894
116,18-05-20,6941
117,19-05-20,6978
118,20-05-20,7009
119,21-05-20,7059
120,22-05-20,7137
121,23-05-20,7185
122,24-05-20,7245
123,25-05-20,7417
124,26-05-20,7604
125,27-05-20,7619
126,28-05-20,7629
127,29-05-20,7732
128,30-05-20,7762
129,31-05-20,7819
130,01-06-20,7857
131,02-06-20,7877
132,03-06-20,7970
133,04-06-20,8247
134,05-06-20,8266
135,06-06-20,8303
136,07-06-20,8322
137,08-06-20,8329
138,09-06-20,8336
139,10-06-20,8338
140,11-06-20,8369
141,12-06-20,8402
142,13-06-20,8445
143,14-06-20,8453
144,15-06-20,8494
145,16-06-20,8505
146,17-06-20,8515
147,18-06-20,8529
148,19-06-20,8535
149,20-06-20,8556
150,21-06-20,8572
151,22-06-20,8587
152,23-06-20,8590
153,24-06-20,8596
154,25-06-20,8600
155,26-06-20,8606
156,27-06-20,8616
157,28-06-20,8634
