id,date,new_cases_malaysia,total_cases_malaysia,new_death_malaysia,total_death_malaysia,new_recovered_malaysia,total_recovered_malaysia
1,24-01-20,0,0,0,0,0,0
2,25-01-20,4,4,0,0,0,0
3,26-01-20,0,4,0,0,0,0
4,27-01-20,0,4,0,0,0,0
5,28-01-20,3,7,0,0,0,0
6,29-01-20,0,7,0,0,0,0
7,30-01-20,1,8,0,0,0,0
8,31-01-20,0,8,0,0,0,0
9,01-02-20,0,8,0,0,0,0
10,02-02-20,0,8,0,0,0,0
11,03-02-20,0,8,0,0,0,0
12,04-02-20,2,10,0,0,1,1
13,05-02-20,2,12,0,0,0,1
14,06-02-20,2,14,0,0,0,1
15,07-02-20,1,15,0,0,0,1
16,08-02-20,1,16,0,0,1,2
17,09-02-20,1,17,0,0,1,3
18,10-02-20,1,18,0,0,0,3
19,11-02-20,0,18,0,0,0,3
20,12-02-20,0,18,0,0,0,3
21,13-02-20,1,19,0,0,0,3
22,14-02-20,0,19,0,0,4,7
23,15-02-20,2,21,0,0,0,7
24,16-02-20,1,22,0,0,1,8
25,17-02-20,0,22,0,0,1,9
26,18-02-20,0,22,0,0,2,11
27,19-02-20,0,22,0,0,4,15
28,20-02-20,0,22,0,0,2,17
29,21-02-20,0,22,0,0,0,17
30,22-02-20,0,22,0,0,0,17
31,23-02-20,0,22,0,0,1,18
32,24-02-20,0,22,0,0,2,20
33,25-02-20,0,22,0,0,0,20
34,26-02-20,0,22,0,0,0,20
35,27-02-20,1,23,0,0,2,22
36,28-02-20,2,25,0,0,0,22
37,29-02-20,0,25,0,0,0,22
38,01-03-20,4,29,0,0,0,22
39,02-03-20,0,29,0,0,0,22
40,03-03-20,7,36,0,0,0,22
41,04-03-20,14,50,0,0,0,22
42,05-03-20,5,55,0,0,0,22
43,06-03-20,28,83,0,0,1,23
44,07-03-20,10,93,0,0,0,23
45,08-03-20,6,99,0,0,0,23
46,09-03-20,18,117,0,0,1,24
47,10-03-20,12,129,0,0,0,24
48,11-03-20,20,149,0,0,2,26
49,12-03-20,9,158,0,0,6,32
50,13-03-20,39,197,0,0,1,33
51,14-03-20,41,238,0,0,2,35
52,15-03-20,190,428,0,0,7,42
53,16-03-20,125,553,0,0,0,42
54,17-03-20,120,673,2,2,7,49
